company_name,company_slug,city,county,state,naics_code,naics_2,affected_workers,event_type,event_bucket,filing_received_date,notice_date,layoff_start_date,layoff_end_date,ai_score_imputed
jo ann stores support center,,hudson,summit,OH,,45,662,closure,closure,2025-01-24,,2029-03-15,2013-06-30,66.93
cnh industrial america,,burlington,des moines,IA,,33,5,amendement - change in number,other,,2026-02-27,2026-12-31,,65.70
qualicaps,,whitsett,guilford,NC,,,91,closure,closure,2025-12-05,2025-12-02,2026-12-31,,65.93
akebono brake,akebono-brake-corporation,,hardin,KY,,33,450,closure,closure,2025-10-03,,2026-12-31,,66.75
thermo fisher scientific,thermo-fisher-scientific,franklin,,MA,,33,103,layoff,layoff,2026-01-23,,2026-12-31,2027-12-31,66.00
araymond tinnerman manufacturing,araymond-tinnerman-manufacturing-inc,,fleming,KY,,56,112,closure,closure,2025-10-23,,2026-12-31,,66.03
leprino foods,,lemoore,kings county,CA,,31,100,closure permanent,closure,2025-12-17,2025-12-15,2026-12-30,,65.99
sinton dairy foods,,,colo springs,CO,,31,64,closure,closure,,2024-09-26,2026-12-30,2026-12-30,65.74
formfactor,formfactor-inc,carlsbad,san diego county,CA,,33,107,closure permanent,closure,2026-01-06,2026-01-06,2026-12-18,,66.02
experian,experian,costa mesa,orange county,CA,,51,28,layoff permanent,layoff,2026-03-11,2026-03-11,2026-12-11,,65.63
phillips 66 wilmington,,wilmington,los angeles county,CA,,21,111,closure permanent,closure,2026-01-26,2026-01-26,2026-12-01,,66.04
phillips 66,phillips-66,carson,los angeles county,CA,,21,44,closure permanent,closure,2026-01-26,2026-01-26,2026-12-01,,65.63
ebay,,san francisco,san francisco county,CA,,45,198,closure permanent,closure,2026-04-10,2026-04-10,2026-09-30,,66.34
wayfair llc erlanger warehouse,,,boone,KY,,49,215,closure,closure,2025-10-15,,2026-09-30,,66.37
cnh industrial america,,burlington,des moines,IA,,33,13,amendement - change in number,other,,2026-02-27,2026-09-25,,65.70
jbt marel,,madera,madera county,CA,,33,59,closure permanent,closure,2026-01-27,2026-01-27,2026-09-18,,65.71
kem krest,kem-krest,carmel,,IN,488510,48,77,closure,closure,,2026-03-10,2026-08-31,,66.00
jtekt north america,jtekt-north-america-corporation,,washington,TN,,33,136,unknown,other,2025-12-04,,2026-08-31,,66.13
mag brand group,,santa fe springs,los angeles county,CA,,,53,closure permanent,closure,2026-03-25,2026-03-25,2026-08-01,,65.66
appliance plus,,charles city,floyd,IA,,44,5,closing,closure,,2026-04-14,2026-07-31,,65.70
appliance plus,,new hampton,chickasaw,IA,,44,3,closing,closure,,2026-04-14,2026-07-31,,65.70
appliance plus,,west union,fayette,IA,,44,4,closing,closure,,2026-04-14,2026-07-31,,65.70
appliance plus,,webster city,hamilton,IA,,44,3,closing,closure,,2026-04-14,2026-07-31,,65.70
appliance plus,,algona,kossuth,IA,,44,5,closing,closure,,2026-04-14,2026-07-31,,65.70
appliance plus,,waukon,allamakee,IA,,44,1,closing,closure,,2026-04-14,2026-07-31,,65.70
appliance plus,,dyersville,delaware,IA,,44,5,closing,closure,,2026-04-14,2026-07-31,,65.70
appliance plus,,oelwein,fayette,IA,,44,4,closing,closure,,2026-04-14,2026-07-31,,65.70
appliance plus,,independence,buchanan,IA,,44,5,closing,closure,,2026-04-14,2026-07-31,,65.70
polaris,polaris-inc,osceola,polk,WI,,33,189,closure,closure,,2026-04-21,2026-07-27,,66.33
unitypoint health,unitypoint-health,madison,dane,WI,,51,25,layoff,layoff,,2026-04-20,2026-07-24,,65.64
unitypoint health,unitypoint-health,sioux city,woodbury,IA,,51,1,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,65.70
unitypoint health,unitypoint-health,des moines,polk,IA,,51,3,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,65.70
unitypoint health,unitypoint-health,fort dodge,webster,IA,,51,1,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,65.70
unitypoint health,unitypoint-health,marshalltown,marshall,IA,,51,1,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,65.70
unitypoint health,unitypoint-health,des moines,pollk,IA,,51,5,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,65.70
unitypoint health,unitypoint-health,hiawatha,linn,IA,,51,97,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,66.04
unitypoint health,unitypoint-health,dubuque,dubuque,IA,,51,2,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,65.70
unitypoint health,unitypoint-health,waterloo,black hawk,IA,,51,1,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,65.70
unitypoint health,unitypoint-health,grimes,polk,IA,,51,1,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,65.70
unitypoint health,unitypoint-health,des moines,polk,IA,,51,76,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,65.92
unitypoint health,unitypoint-health,cedar rapids,linn,IA,,51,1,mass layoff,mass_layoff,,2026-04-14,2026-07-24,,65.70
ryder systems,,waterloo,black hawk,IA,,48,153,mass layoff - additional employees,mass_layoff,,2026-04-08,2026-07-24,,66.28
amazon,,tmb8,,FL,,45,616,layoff,layoff,,2026-04-17,2026-07-02,2026-09-30,66.93
primo brands,primo-brands,santa ana,orange county,CA,,,23,layoff permanent,layoff,2026-03-20,2026-03-20,2026-07-01,,65.63
takeda pharmaceuticals usa inc dba takeda,,cambridge,,MA,,32,247,layoff,layoff,2026-03-25,,2026-07-01,2027-12-31,66.46
pnc bank na,,,jeffco (tri-county),CO,,52,777,consolidating operations into single organization,other,,2026-04-17,2026-06-30,2026-06-30,67.05
voyant beauty,voyant-beauty,roanoke,,VA,,,95,closure,closure,,2026-04-10,2026-06-30,,65.89
wellpath and cfmg placer juvi detention,,auburn,placer county,CA,,62,4,closure permanent,closure,2026-04-07,2026-04-07,2026-06-30,,65.63
prepa tec los angeles campus,,huntington park,los angeles county,CA,,,42,closure permanent,closure,2026-04-07,2026-04-07,2026-06-30,,65.63
wellpath and cfmg south placer jail,,roseville,placer county,CA,,62,35,closure permanent,closure,2026-04-07,2026-04-07,2026-06-30,,65.63
wellpath and cfmg placer jail auburn,,auburn,placer county,CA,,62,50,closure permanent,closure,2026-04-07,2026-04-07,2026-06-30,,65.63
first student,first-student,waterloo,black hawk,IA,,48,120,closing,closure,,2026-04-02,2026-06-30,,66.15
union of pan asian communities positive solutions and elder multicultural access support service,,san diego,san diego county,CA,,62,14,layoff permanent,layoff,2026-04-02,2026-04-01,2026-06-30,,65.63
regal rexnord,regal-rexnord,cudahy,milwaukee,WI,,33,70,closure,closure,,2026-04-01,2026-06-30,,65.81
union of pan asian communities east wind clubhouse,,san diego,san diego county,CA,,62,5,layoff permanent,layoff,2026-04-02,2026-04-01,2026-06-30,,65.63
carnegie institution for science,,baltimore city,,MD,,54,15,layoff,layoff,,2026-03-30,2026-06-30,,65.68
evonik,,susquehanna,,MD,,32,34,closure,closure,,2026-03-25,2026-06-30,2026-12-31,65.68
